Country,1 category,2 category,Product,Year,Income in USD
China,Minero,Minería,Minerales de cobre y sus concentrados,2017,6470444174
China,Minero,Minería,Cobre,2017,7604230274
China,Minero,Minería,Minerales de hierro y sus concentrados,2017,616711446,1
China,Minero,Minería,Litio,2017,234218255
China,Minero,Minería,Minerales de molibdeno y sus concentrados,2017,37490057,93
China,Minero,Minería,Yodo,2017,51707514,12
China,Minero,Minería,Minerales de cinc y sus concentrados,2017,16191755,94
China,Minero,Minería,Minerales de oro y sus concentrados,2017,10194357,93
China,Minero,Minería,Resto Minería,2017,1682903,79
China,Minero,Minería,Plata,2017,0
China,Minero,Minería,Sal gema, sal de salinas y sal marina,2017,847945,7
China,Minero,Minería,Oro,2017,0
China,No minero,Forestales y sus derivados,Celulosa,2017,1327877869
China,No minero,Forestales y sus derivados,Madera y sus manufacturas,2017,291959033,8
China,No minero,Forestales y sus derivados,Papel y cartón y sus manufacturas,2017,762886,85
China,No minero,Forestales y sus derivados,Resto Forestales y sus derivados,2017,6845,02
China,No minero,Frutas y frutos ,Cerezas,2017,482720524,4
China,No minero,Frutas y frutos ,Uvas ,2017,189884833,6
China,No minero,Frutas y frutos ,Ciruelas,2017,51888702,85
China,No minero,Frutas y frutos ,Arándanos,2017,51716513,74
China,No minero,Frutas y frutos ,Duraznos y nectarinas,2017,4880304,73
China,No minero,Frutas y frutos ,Paltas,2017,48859451,99
China,No minero,Frutas y frutos ,Manzanas,2017,14932976,62
China,No minero,Frutas y frutos ,Kiwis,2017,22351762,71
China,No minero,Frutas y frutos ,Frutillas,2017,4023516,88
China,No minero,Frutas y frutos ,Nueces de nogal,2017,2303205,8
China,No minero,Frutas y frutos ,Limones,2017,0
China,No minero,Frutas y frutos ,Peras,2017,0
China,No minero,Frutas y frutos ,Resto Frutas y frutos ,2017,62800
China,No minero,Frutas y frutos ,Frambuesas y moras,2017,83812,31
China,No minero,Frutas y frutos ,Mandarinas y clementinas,2017,0
China,No minero,Frutas y frutos ,Naranjas,2017,0
China,No minero,Frutas y frutos ,Avellanas,2017,0
China,No minero,Productos del mar,Salmones y truchas,2017,196166961,4
China,No minero,Productos del mar,Harinas de pescado,2017,104129717,1
China,No minero,Productos del mar,Algas,2017,93446073,65
China,No minero,Productos del mar,Resto Productos del mar,2017,49937348,02
China,No minero,Productos del mar,Bacalaos,2017,9625675,85
China,No minero,Productos del mar,Moluscos,2017,15661341,52
China,No minero,Productos del mar,Grasas y aceites de pescado,2017,3828780,7
China,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,5057505,47
China,No minero,Productos del mar,Jureles,2017,244520
China,No minero,Productos del mar,Erizos,2017,0
China,No minero,Otros alimentos,Carnes de porcino,2017,94913297,78
China,No minero,Otros alimentos,Carnes de ave,2017,35340148,24
China,No minero,Otros alimentos,Carnes de bovino,2017,14242370,78
China,No minero,Otros alimentos,Resto Otros alimentos,2017,12583022,07
China,No minero,Otros alimentos,Cecinas y embutidos,2017,1291172,07
China,No minero,Otros alimentos,Carnes de otras especies,2017,5127378,45
China,No minero,Otros alimentos,Jugos de frutas, frutos y hortalizas,2017,3794604,07
China,No minero,Otros alimentos,Leche y otros productos lácteos,2017,8662407,51
China,No minero,Otros alimentos,Aceites de oliva,2017,184514,58
China,No minero,Otros alimentos,Granos de avena,2017,45687,5
China,No minero,Otros alimentos,Hortalizas y tubérculos,2017,0
China,No minero,Otros alimentos,Miel,2017,0
China,No minero,Otros alimentos,Tomates preprarados o conservados,2017,0
China,No minero,Resto No minería,Resto No minería,2017,298285715,9
China,No minero,Vitivinícola,Vinos,2017,254480704
China,No minero,Vitivinícola,Mostos de uva,2017,66824667,51
China,No minero,Vitivinícola,Vinos espumosos,2017,1447511,18
China,No minero,Otros productos relevantes,Metanol,2017,0
China,No minero,Otros productos relevantes,Abonos,2017,15343423,28
China,No minero,Otros productos relevantes,Alambres de cobre,2017,2882842,36
China,No minero,Otros productos relevantes,Óxidos e hidróxidos de molibdeno,2017,0
China,No minero,Otros productos relevantes,Semillas para siembra,2017,659379,29
China,No minero,Otros productos relevantes,Ferroaleaciones,2017,0
China,No minero,Otros productos relevantes,Medicamentos,2017,18554,98
China,No minero,Otros productos relevantes,Nitratos de potasio,2017,0
China,No minero,Otros productos relevantes,Neumáticos,2017,0
China,No minero,Exportación de servicios calificados por Aduanas,Exportación de servicios calificados por Aduanas,2017,2907312,59
Estados Unidos de América,No minero,Productos del mar,Salmones y truchas,2017,1606402198
Estados Unidos de América,No minero,Productos del mar,Conservas y preparaciones de pescados y mariscos,2017,68071887,01
Estados Unidos de América,No minero,Productos del mar,Harinas de pescado,2017,57468573,14
Estados Unidos de América,No minero,Productos del mar,Bacalaos,2017,45047471,97
Estados Unidos de América,No minero,Productos del mar,Resto Productos del mar,2017,19614187,23
Estados Unidos de América,No minero,Productos del mar,Grasas y aceites de pescado,2017,15681300,7
Estados Unidos de América,No minero,Productos del mar,Moluscos,2017,5857874,82
Estados Unidos de América,No minero,Productos del mar,Algas,2017,1375464,05
Estados Unidos de América,No minero,Productos del mar,Erizos,2017,2146858,43
Estados Unidos de América,No minero,Productos del mar,Jureles,2017,2
Estados Unidos de América,No minero,Frutas y frutos ,Uvas ,2017,571566685,9
Estados Unidos de América,No minero,Frutas y frutos ,Arándanos,2017,340546017,4
Estados Unidos de América,No minero,Frutas y frutos ,Mandarinas y clementinas,2017,165158599,6
Estados Unidos de América,No minero,Frutas y frutos ,Manzanas,2017,121784294,6
Estados Unidos de América,No minero,Frutas y frutos ,Naranjas,2017,71091795,42
Estados Unidos de América,No minero,Frutas y frutos ,Limones,2017,43721564,81
