Country;Category 1;Category 2;Product;Year;Outcome;;;;;;;;;;;;;;;;;;"Fuente: Declaraciones de Ingreso (DIN); importaciones a titulo definitivo ajustadas con sus documentos modificatorios. Servicio Nacional de Aduanas"
Afganistan;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2017;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Medios de transporte y sus partes;Pozostałe środki transportu i jego części;2017;253010,76;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2017;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2017;8148,46;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2017;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2017;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Tecnología;Komputery i ich części;2017;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Tecnología;Telewizory;2017;0,00;;;;;;;;;;;;;;;;;;
Afganistan;Combustibles y lubricantes minerales;Combustibles y lubricantes minerales;Oleje i smary smarne;2017;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Medios de transporte y sus partes;Podwozia, nadwozia, części i akcesoria pojazdów mechanicznych;2018;218,80;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Medios de transporte y sus partes;Pozostałe środki transportu i jego części;2018;109,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Maquinarias, aparatos y sus partes;Pozostałe maszyny, urządzenia i części;2018;113489,23;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Resto No combustibles;Pozostałe materiały niepalne;2018;8669,21;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Prendas de vestir y accesorios, y calzados;Buty;2018;45,75;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Prendas de vestir y accesorios, y calzados;Ubrania i akcesoria;2018;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Tecnología;Komputery i ich części;2018;0,00;;;;;;;;;;;;;;;;;;
Afganistan;No Combustibles;Tecnología;Telewizory;2018;0,00;;;;;;;;;;;;;;;;;;
Afganistan;Combustibles y lubricantes minerales;Combustibles y lubricantes minerales;Oleje i smary smarne;2018;0,00;;;;;;;;;;;;;;;;;;
